Wk,Date,Time,Day,Winner,Pts_W,Location,Loser,Pts_L,TV,Rank_W,Rank_L,Outcome
1,Sep 3 2015,10:00 PM,Thu,Arizona,42,Home,Texas-San Antonio,32,,22,,W
1,Sep 3 2015,7:00 PM,Thu,Ball State,48,Home,Virginia Military Institute,36,,,,W
1,Sep 3 2015,7:30 PM,Thu,Connecticut,20,Home,Villanova,15,,,,W
1,Sep 3 2015,9:30 PM,Thu,Duke,37,Away,Tulane,7,,,,L
1,Sep 3 2015,6:00 PM,Thu,Florida International,15,Away,Central Florida,14,,,,W
1,Sep 3 2015,10:00 PM,Thu,Fresno State,34,Home,Abilene Christian,13,,,,W
1,Sep 3 2015,7:30 PM,Thu,Georgia Tech,69,Home,Alcorn State,6,,16,,W
1,Sep 3 2015,11:59 PM,Thu,Hawaii,28,Home,Colorado,20,,,,W
1,Sep 3 2015,10:00 PM,Thu,Nevada,31,Home,California-Davis,17,,,,W
1,Sep 3 2015,9:00 PM,Thu,Ohio,45,Away,Idaho,28,,,,W
1,Sep 3 2015,7:00 PM,Thu,Oklahoma State,24,Away,Central Michigan,13,,,,W
1,Sep 3 2015,10:00 PM,Thu,San Jose State,43,Home,New Hampshire,13,,,,W
1,Sep 3 2015,6:00 PM,Thu,South Carolina,17,Home,North Carolina,13,,,,W
1,Sep 3 2015,9:00 PM,Thu,Texas Christian,23,Away,Minnesota,17,,2,,W
1,Sep 3 2015,8:30 PM,Thu,Utah,24,Home,Michigan,17,,,,W
1,Sep 3 2015,9:00 PM,Thu,Utah State,12,Home,Southern Utah,9,,,,L
1,Sep 3 2015,7:00 PM,Thu,Wake Forest,41,Home,Elon,3,,,,W
1,Sep 3 2015,8:00 PM,Thu,Western Kentucky,14,Away,Vanderbilt,12,,,,W
1,Sep 4 2015,7:00 PM,Fri,Baylor,56,Away,Southern Methodist,21,,4,,W
1,Sep 4 2015,10:15 PM,Fri,Boise State,16,Home,Washington,13,,23,,W
1,Sep 4 2015,3:30 PM,Fri,Charlotte,23,Away,Georgia State,20,,,,W
1,Sep 4 2015,7:00 PM,Fri,Fordham,37,Away,Army,35,,,,W
1,Sep 4 2015,9:00 PM,Fri,Kent State,,Away,Illinois,,,,,
1,Sep 4 2015,7:00 PM,Fri,Michigan State,37,Away,Western Michigan,24,,5,,W
1,Sep 4 2015,8:00 PM,Fri,Oregon State,26,Home,Weber State,7,,,,L
1,Sep 4 2015,7:00 PM,Fri,Syracuse,47,Home,Rhode Island,0,,,,W
1,Sep 5 2015,3:30 PM,Sat,Air Force,63,Home,Morgan State,7,,,,L
1,Sep 5 2015,8:00 PM,Sat,Alabama,35,Home,Wisconsin,17,,3,20,W
